Activity,concept:name,case:concept:name,concept:e_attr_1,concept:e_attr_2,time:timestamp,case:concept:name
7,7A,18,-0.094015879,-0.432117387,2021/4/1 5:33,7AA
1,1A,18,-1.684189756,0.087368229,2021/4/1 8:10,1AA
2,2A,18,-0.300677765,-0.815958245,2021/4/1 11:18,2AA
3,3A,18,-2.061921182,-1.613652309,2021/4/1 14:19,3AA
7,7A,19,-1.137405412,-1.710557075,2021/4/1 3:31,7AA
1,1A,19,-3.550188741,0.174723649,2021/4/1 4:56,1AA
2,2A,19,-2.365634356,-1.165167662,2021/4/1 5:55,2AA
3,3A,19,-1.878784282,-1.381967059,2021/4/1 11:38,3AA
4,4A,19,-0.850216782,-1.11063333,2021/4/1 15:11,4AA
7,7A,20,-0.043032581,-1.352796531,2021/4/1 4:25,7AA
1,1A,20,-2.099708832,-1.490711034,2021/4/1 8:34,1AA
2,2A,20,0.085679022,-1.559523081,2021/4/1 10:20,2AA
7,7A,21,-1.46557762,-0.393264671,2021/4/1 6:31,7AA
7,7A,22,1.147886089,-2.171890902,2021/4/1 6:20,7AA
1,1A,22,-0.825687485,-2.043530034,2021/4/1 7:26,1AA
2,2A,22,-1.532255816,-1.831773709,2021/4/1 11:37,2AA
3,3A,22,-1.473769413,-0.966629755,2021/4/1 12:50,3AA
4,4A,22,-0.632734531,-0.803691083,2021/4/1 16:09,4AA
7,7A,23,-1.196686492,-1.895341466,2021/4/1 12:31,7AA
7,7A,24,-0.347332904,-0.856011792,2021/4/1 4:40,7AA
7,7A,25,-0.761301896,-1.432738013,2021/4/1 6:53,7AA
1,1A,25,-2.636358252,-0.966839317,2021/4/1 10:45,1AA
2,2A,25,-0.151051446,0.30169541,2021/4/1 14:41,2AA
7,7A,26,0.03462535,-1.002583451,2021/4/1 2:46,7AA
7,7A,27,-1.930073496,-0.614814159,2021/4/1 3:54,7AA
1,1A,27,-1.255561821,-2.016386229,2021/4/1 7:26,1AA
2,2A,27,-0.600620075,-0.567517959,2021/4/1 7:58,2AA
3,3A,27,-0.885822268,0.354109791,2021/4/1 13:09,3AA
7,7A,28,-1.051680976,-3.110153291,2021/4/1 5:16,7AA
7,7A,29,-1.4450331,-0.279271544,2021/4/1 5:33,7AA
1,1A,29,-1.155319435,-1.58044648,2021/4/1 10:26,1AA
7,7A,30,-1.369106367,-2.169200443,2021/4/1 4:36,7AA
1,1A,30,-1.315946401,-0.781377738,2021/4/1 8:53,1AA
2,2A,30,-0.925536505,-2.1816268,2021/4/1 10:53,2AA
7,7A,32,-1.582209938,0.034533996,2021/4/1 2:18,7AA
1,1A,32,-0.012297015,-0.292976332,2021/4/1 5:44,1AA
2,2A,32,0.238091604,0.041485604,2021/4/1 6:27,2AA
3,3A,32,-1.456177072,-1.39542521,2021/4/1 7:49,3AA
4,4A,32,-1.438167498,-1.227843816,2021/4/1 9:38,4AA
5,5A,32,-1.275833506,-0.866214117,2021/4/1 11:38,5AA
7,7A,33,-1.541368571,-1.345492083,2021/4/1 2:48,7AA
1,1A,33,-0.369991515,-0.786516325,2021/4/1 3:35,1AA
7,7A,34,0.163420077,-2.03981322,2021/4/1 3:48,7AA
1,1A,34,0.47729132,-1.53366563,2021/4/1 5:35,1AA
2,2A,34,-1.533822993,0.29512703,2021/4/1 6:18,2AA
3,3A,34,-1.066560484,-1.837402922,2021/4/1 11:18,3AA
4,4A,34,-2.592250867,-0.450049146,2021/4/1 12:38,4AA
5,5A,34,-1.443183001,-0.513936094,2021/4/1 13:19,5AA
7,7A,35,-1.570927132,-0.982139786,2021/4/1 3:21,7AA
7,7A,36,0.646657188,-2.101432742,2021/4/1 2:54,7AA
1,1A,36,0.584387759,1.894320552,2021/4/1 5:32,1AA
2,2A,36,0.143705962,-1.116041592,2021/4/1 6:58,2AA
3,3A,36,-1.078328278,-1.570252819,2021/4/1 9:26,3AA
4,4A,36,-0.831900856,-0.371495969,2021/4/1 11:18,4AA
5,5A,36,-1.034602379,-0.970465186,2021/4/1 11:32,5AA
7,7A,37,-0.917666438,-0.449641676,2021/4/1 3:36,7AA
1,1A,37,-2.902878307,-0.449058756,2021/4/1 11:17,1AA
7,7A,38,-1.156095431,-0.712816421,2021/4/1 8:49,7AA
7,7A,40,-1.122802625,-0.696003772,2021/4/1 6:18,7AA
1,1A,40,-2.554795448,0.715284919,2021/4/1 8:11,1AA
2,2A,40,-1.638458362,-1.694085256,2021/4/1 8:46,2AA
3,3A,40,-0.700590589,-2.822790448,2021/4/1 11:38,3AA
7,7A,41,-0.904304849,-2.465865437,2021/4/1 3:11,7AA
7,7A,42,-0.564775164,0.245058688,2021/4/1 8:07,7AA
7,7A,43,-0.220648297,1.188484201,2021/4/1 3:04,7AA
7,7A,45,-1.556541026,-0.648706592,2021/4/1 3:52,7AA
1,1A,45,-0.853801904,-0.350023537,2021/4/1 4:38,1AA
2,2A,45,-0.318989911,-2.794054772,2021/4/1 5:51,2AA
3,3A,45,0.274562793,-1.247309043,2021/4/1 7:47,3AA
7,7A,46,-0.95318698,-0.619801956,2021/4/1 3:24,7AA
1,1A,46,-1.77224332,-0.500188793,2021/4/1 5:33,1AA
2,2A,46,0.420299485,-0.849926033,2021/4/1 6:40,2AA
7,7A,47,-0.596740326,0.900093069,2021/4/1 3:08,7AA
1,1A,47,0.151602464,-1.363755432,2021/4/1 5:32,1AA
7,7A,48,-1.553829548,-0.191407465,2021/4/1 2:09,7AA
7,7A,49,-0.399662996,0.107638567,2021/4/1 6:17,7AA
1,1A,49,-2.345076843,-2.048625834,2021/4/1 9:47,1AA
2,2A,49,-3.141841691,-1.515099856,2021/4/1 14:19,2AA
7,7A,50,0.004504047,-1.027839175,2021/4/1 6:18,7AA
1,1A,50,-0.182233997,-1.640218565,2021/4/1 8:44,1AA
7,7A,51,-1.370055524,-0.238046219,2021/4/1 2:04,7AA
1,1A,51,0.51680289,-2.008330925,2021/4/1 3:58,1AA
2,2A,51,-1.563007731,-2.145537538,2021/4/1 6:20,2AA
3,3A,51,-2.029459162,-2.429995974,2021/4/1 9:01,3AA
4,4A,51,-0.274485783,-1.112060108,2021/4/1 11:41,4AA
5,5A,51,-1.047594789,-0.22218746,2021/4/1 12:49,5AA
7,7A,52,-1.609865514,-1.426886152,2021/4/1 5:55,7AA
1,1A,52,-2.22129169,-1.215358815,2021/4/1 9:25,1AA
7,7A,53,-1.244192708,-0.513052035,2021/4/1 2:04,7AA
1,1A,53,-1.212595043,-1.062181693,2021/4/1 4:35,1AA
7,7A,54,-0.799785482,0.08803737,2021/4/1 3:46,7AA
7,7A,55,-1.00176573,-0.984747571,2021/4/1 3:05,7AA
1,1A,55,-1.851229,-1.978068754,2021/4/1 3:21,1AA
2,2A,55,-1.020467916,0.872828638,2021/4/1 4:16,2AA
3,3A,55,-0.188847608,-2.710134349,2021/4/1 4:32,3AA
4,4A,55,-1.330024691,-2.169899439,2021/4/1 6:23,4AA
5,5A,55,-2.273194344,-2.277707155,2021/4/1 8:25,5AA
7,7A,56,-3.206952517,-1.607002444,2021/4/1 2:49,7AA
1,1A,56,-0.730401697,-0.86987263,2021/4/1 3:54,1AA
2,2A,56,-0.069689019,0.34204109,2021/4/1 6:07,2AA
7,7A,57,-0.250597801,-1.622770708,2021/4/1 2:13,7AA
1,1A,57,-0.04049816,-1.097804623,2021/4/1 9:09,1AA
2,2A,57,-3.57343275,-3.27607384,2021/4/1 15:34,2AA
7,7A,58,-0.937233137,-0.757319509,2021/4/1 3:52,7AA
1,1A,58,-1.385732444,-2.462290373,2021/4/1 5:32,1AA
7,7A,60,0.021794442,-0.103403774,2021/4/1 5:43,7AA
1,1A,60,-1.712821272,-0.457712362,2021/4/1 6:39,1AA
2,2A,60,-0.951874347,1.390391151,2021/4/1 9:24,2AA
3,3A,60,-2.439192891,-0.915192794,2021/4/1 11:24,3AA
7,7A,61,-0.740552958,-1.494250809,2021/4/1 4:14,7AA
1,1A,61,-2.216675462,-1.900161808,2021/4/1 9:00,1AA
2,2A,61,-1.105702232,-1.688778612,2021/4/1 11:17,2AA
3,3A,61,-1.277306149,-2.217855826,2021/4/1 14:41,3AA
7,7A,62,-0.398243334,-2.524726763,2021/4/1 3:53,7AA
1,1A,62,-1.410903191,-2.368928928,2021/4/1 5:14,1AA
2,2A,62,-0.646919037,0.93651016,2021/4/1 7:02,2AA
3,3A,62,0.177398404,-0.610581614,2021/4/1 11:16,3AA
7,7A,63,-1.279604623,-0.963702771,2021/4/1 1:58,7AA
1,1A,63,0.526860559,-0.489277515,2021/4/1 5:07,1AA
2,2A,63,-2.755496818,0.328469374,2021/4/1 6:48,2AA
3,3A,63,-1.113666757,-2.821124502,2021/4/1 8:20,3AA
4,4A,63,-0.936565802,0.725915431,2021/4/1 9:50,4AA
5,5A,63,-0.493387653,-1.368763807,2021/4/1 12:12,5AA
7,7A,64,-2.081789433,-3.338907471,2021/4/1 4:57,7AA
1,1A,64,0.548983812,-0.913140011,2021/4/1 7:58,1AA
2,2A,64,-0.521567863,-2.470777825,2021/4/1 13:12,2AA
7,7A,65,-0.499511341,-1.905865433,2021/4/1 4:20,7AA
1,1A,65,-0.867155808,-1.401511989,2021/4/1 5:10,1AA
2,2A,65,-1.798042785,-1.015463541,2021/4/1 9:15,2AA
7,7A,66,-1.606177811,0.047154723,2021/4/1 3:52,7AA
7,7A,67,1.007778973,0.14440909,2021/4/1 2:49,7AA
7,7A,68,-1.723104238,-1.626007788,2021/4/1 8:42,7AA
7,7A,69,-1.781219807,-0.94656037,2021/4/1 2:19,7AA
1,1A,69,-1.470405774,-1.015904332,2021/4/1 7:43,1AA
2,2A,69,-0.315601276,0.735912726,2021/4/1 8:23,2AA
3,3A,69,-1.638840905,-1.121717565,2021/4/1 8:55,3AA
4,4A,69,-0.522277549,0.577817807,2021/4/1 10:53,4AA
7,7A,70,-1.00833573,0.867246882,2021/4/1 4:06,7AA
7,7A,71,-0.020262574,-1.036015706,2021/4/1 2:28,7AA
1,1A,71,-1.293929875,-0.906871647,2021/4/1 15:00,1AA
7,7A,72,-2.099641132,-0.706086866,2021/4/1 3:58,7AA
1,1A,72,-1.951654854,-1.62997432,2021/4/1 5:59,1AA
2,2A,72,-1.315933807,-1.211731003,2021/4/1 8:45,2AA
3,3A,72,-1.459603575,0.396552689,2021/4/1 11:24,3AA
4,4A,72,0.524616954,-1.477596017,2021/4/1 12:37,4AA
7,7A,73,-2.356426977,-2.770747125,2021/4/1 2:00,7AA
7,7A,74,-0.434882203,-1.793230474,2021/4/1 8:08,7AA
7,7A,75,0.8771632,-2.384505129,2021/4/1 4:12,7AA
1,1A,75,-3.612730248,-1.310792033,2021/4/1 7:19,1AA
2,2A,75,0.237742626,-0.572214722,2021/4/1 10:19,2AA
3,3A,75,-1.357740066,-0.918135033,2021/4/1 11:29,3AA
4,4A,75,-1.452478427,-0.569955701,2021/4/1 13:58,4AA
7,7A,76,-1.945216635,-1.477305511,2021/4/1 2:03,7AA
1,1A,76,-1.513755736,-1.131425008,2021/4/1 3:39,1AA
7,7A,77,0.245048228,-2.272646269,2021/4/1 3:48,7AA
1,1A,77,-2.443623266,0.544101721,2021/4/1 5:22,1AA
2,2A,77,-1.373506722,-0.532085427,2021/4/1 10:22,2AA
3,3A,77,-2.152960276,-2.116935767,2021/4/1 12:52,3AA
7,7A,78,-1.534435627,-1.727072272,2021/4/1 1:50,7AA
1,1A,78,-0.208772609,-0.415668528,2021/4/1 3:37,1AA
7,7A,79,-0.911732932,-1.62821437,2021/4/1 2:53,7AA
1,1A,79,-0.554313699,-1.478931562,2021/4/1 6:41,1AA
7,7A,81,-1.361678593,-0.684709108,2021/4/1 2:42,7AA
1,1A,81,-0.206766576,-0.234620161,2021/4/1 4:14,1AA
2,2A,81,-0.631273847,-0.335566328,2021/4/1 4:47,2AA
7,7A,82,0.166249063,-0.917068959,2021/4/1 3:56,7AA
1,1A,82,-0.605795793,-0.44473041,2021/4/1 7:24,1AA
2,2A,82,-0.362778362,0.169074338,2021/4/1 9:31,2AA
3,3A,82,-0.034726386,-0.268071347,2021/4/1 13:57,3AA
7,7A,83,1.676685108,-0.273535795,2021/4/1 3:04,7AA
1,1A,83,-1.12108251,-2.240343836,2021/4/1 6:03,1AA
7,7A,84,-0.274534014,-2.040267248,2021/4/1 5:07,7AA
1,1A,84,-0.732075136,-1.549384181,2021/4/1 9:36,1AA
2,2A,84,-1.036710031,-2.219843097,2021/4/1 10:42,2AA
3,3A,84,0.492184221,0.858011204,2021/4/1 13:14,3AA
7,7A,85,-1.143649454,-0.848868507,2021/4/1 4:02,7AA
1,1A,85,-1.694559887,-2.226188373,2021/4/1 5:07,1AA
7,7A,86,-2.505817089,0.239326417,2021/4/1 4:18,7AA
1,1A,86,0.376782469,-1.67097547,2021/4/1 5:48,1AA
2,2A,86,-0.748590431,-1.730540168,2021/4/1 8:56,2AA
7,7A,87,-2.159603219,-1.397634781,2021/4/1 4:42,7AA
7,7A,88,-0.940689878,-0.735305189,2021/4/1 2:13,7AA
1,1A,88,-1.409120339,-2.810648448,2021/4/1 4:28,1AA
2,2A,88,-2.481715708,-0.925948073,2021/4/1 7:13,2AA
3,3A,88,-0.539918568,-0.359850223,2021/4/1 8:10,3AA
7,7A,89,-0.487888242,-1.011474753,2021/4/1 4:01,7AA
1,1A,89,-1.785021618,-2.226179168,2021/4/1 4:51,1AA
7,7A,90,-0.468038989,-0.765634633,2021/4/1 5:16,7AA
1,1A,90,-1.793224855,-0.391307772,2021/4/1 7:32,1AA
2,2A,90,-2.022559996,-0.740482998,2021/4/1 9:34,2AA
3,3A,90,0.132089072,-1.504486377,2021/4/1 11:23,3AA
4,4A,90,-1.186753295,-2.076554334,2021/4/1 14:18,4AA
7,7A,91,0.236019587,-0.736263649,2021/4/1 3:54,7AA
1,1A,91,-1.424071688,-0.5123679,2021/4/1 6:50,1AA
2,2A,91,-0.857072761,-1.357835975,2021/4/1 9:57,2AA
7,7A,92,-1.27575856,-3.319112899,2021/4/1 5:42,7AA
7,7A,93,-0.510177707,-0.552941285,2021/4/1 5:14,7AA
1,1A,93,-1.262919471,-2.297888288,2021/4/1 7:26,1AA
2,2A,93,-1.292677561,-3.42294947,2021/4/1 9:57,2AA
3,3A,93,-1.27377871,-2.319829983,2021/4/1 12:44,3AA
7,7A,94,-1.521870304,-0.10559323,2021/4/1 3:23,7AA
1,1A,94,-1.560814466,-2.399334478,2021/4/1 9:34,1AA
2,2A,94,-0.988751069,-1.327954346,2021/4/1 19:18,2AA
7,7A,95,-0.367557665,-3.447161771,2021/4/1 2:40,7AA
7,7A,96,-0.26628811,-0.891687204,2021/4/1 1:53,7AA
1,1A,96,0.280718373,-0.819737958,2021/4/1 5:04,1AA
2,2A,96,-2.100695104,-2.252074717,2021/4/1 10:35,2AA
7,7A,97,-2.147961075,-0.449303089,2021/4/1 3:35,7AA
1,1A,97,-1.135321025,0.474840728,2021/4/1 5:57,1AA
7,7A,98,-0.049296898,0.197634727,2021/4/1 4:23,7AA
